"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","watershed_code","Commodity","Fruit","Category","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",138,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",35019,32.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",1699,31
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",370,31.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",8154,68.4
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","TOTAL","NOT SPECIFIED",46093,21.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",46,45.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",165,91.9
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",35457,32.1
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",676,42.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",1736,30.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",409,31.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",8323,65.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","TOTAL","NOT SPECIFIED",46813,21.9
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",27,23.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",438,6.4
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",38,83.7
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",40,52.1
