"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","watershed_code","Commodity","Fruit","Category","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",8,76.1
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",NA,NA
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",1414,27.7
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",131,22.2
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",1401,33.5
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES BEARING","TOTAL","NOT SPECIFIED",13413,5.9
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",8,76.1
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",180,20.1
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",9938,NA
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES GROWN","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",469,59.9
