"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","watershed_code","Commodity","straw","more","mkt","measure","other","col1","col2","Type","Name","Chemical.Code","Value","CV...."
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,NA,NA,NA,121,NA
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,NA,NA,NA,NA,NA
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,NA,NA,NA,NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"ACRES HARVESTED",NA,NA,"TOTAL",NA,NA,NA,NA,42700,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"ACRES PLANTED",NA,NA,"TOTAL",NA,NA,NA,NA,43100,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","OTHER",NA,NA,NA,NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES",NA,"APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","CHEMICAL","FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
