"Program","Year","Period","Geo.Level","State","Commodity","straw","mkt","measure","col1","col2","Type","Name","Chemical.Code","Value"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","AZOXYSTROBIN","128810",3300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE",NA,NA,NA,2800
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","BOSCALID","128008",6600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","CAPTAN","81301",603100
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","CYPRODINIL","288202",30300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","FENHEXAMID","90209",8600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","FLUDIOXONIL","71503",22400
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","FLUOPYRAM","80302",14600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","FLUXAPYROXAD","138009",7100
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","MEFENOXAM","113502",7200
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","MYCLOBUTANIL","128857",10800
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","PENTHIOPYRAD","90112",4000
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE",NA,NA,NA,3300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","PROPICONAZOLE","122101",2300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","PYRACLOSTROBIN","99100",10600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","PYRIMETHANIL","288201",8300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","QUINOLINE","55459",3600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","SULFUR","77501",1258100
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","TETRACONAZOLE","120603",1300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE",NA,NA,NA,10600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","THIRAM","79801",269500
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE",NA,NA,NA,2338800
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","TRIFLOXYSTROBIN","129112",14600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","HERBICIDE","FLUMIOXAZIN","129034",3900
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","HERBICIDE","PENDIMETHALIN","108501",71400
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE",NA,NA,NA,89700
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","ABAMECTIN","122804",300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","ACEQUINOCYL","6329",12800
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","ACETAMIPRID","99050",3300
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","AZADIRACHTIN","121701",2800
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","BIFENAZATE","586",28700
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","BIFENTHRIN","128825",4600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","CHLORANTRANILIPROLE","90100",2000
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","CYANTRANILIPROLE","90098",1700
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","CYFLUMETOFEN","138831",7600
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","FENPROPATHRIN","127901",6600
