"Program","Year","Period","Geo.Level","State","Commodity","straw","mkt","measure","col1","col2","Type","Name","Chemical.Code","Value"
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","AZOXYSTROBIN","128810",100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","CAPTAN","81301",144000
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","CYPRODINIL","288202",9700
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","FLUDIOXONIL","71503",6100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FUNGICIDE","THIRAM","79801",112100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE",NA,NA,NA,302700
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE",NA,NA,NA,9900
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","ABAMECTIN","122804",100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","ACETAMIPRID","99050",500
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","BIFENTHRIN","128825",100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","CHLORANTRANILIPROLE","90100",400
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","NOVALURON","124002",1500
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","INSECTICIDE","THIAMETHOXAM","60109",400
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE",NA,NA,NA,12300
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER",NA,NA,NA,5100
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FUNGICIDE","AZOXYSTROBIN","128810",0.151
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FUNGICIDE","CAPTAN","81301",2.012
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FUNGICIDE","CYPRODINIL","288202",0.244
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FUNGICIDE","FLUDIOXONIL","71503",0.152
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FUNGICIDE","THIRAM","79801",2.156
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","ABAMECTIN","122804",0.031
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","ACETAMIPRID","99050",0.144
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","BIFENTHRIN","128825",0.117
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","CHLORANTRANILIPROLE","90100",0.054
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","NOVALURON","124002",0.077
"SURVEY",2023,"YEAR","STATE","FLORIDA","STRAWBERRIES","STRAWBERRIES","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","INSECTICIDE","THIAMETHOXAM","60109",0.058
